Movie_Id, Genre_Id
1, 1
2, 2
2, 1
3, 3
3, 2
3, 1
4, 2
4, 1
5, 2
5, 1
6, 3
6, 4
6, 1
7, 2
7, 1
8, 5
8, 1
8, 6
9, 3
9, 4
9, 7
10, 1
11, 3
11, 4
11, 1
12, 1
12, 8
13, 9
14, 3
14, 4
14, 1
15, 3
15, 7
16, 5
16, 2
16, 1
17, 3
17, 4
17, 10
18, 1
19, 5
19, 1
19, 6
20, 11
20, 1
20, 12
21, 1
22, 4
22, 1
22, 7
23, 2
23, 1
24, 13
24, 4
24, 14
25, 1
25, 15
26, 2
26, 1
26, 10
27, 11
27, 1
27, 8
28, 2
28, 1
28, 16
29, 2
29, 1
29, 12
30, 3
30, 4
30, 10
31, 3
31, 1
31, 16
32, 3
32, 4
32, 1
33, 1
33, 14
33, 10
34, 2
34, 1
34, 12
35, 1
35, 17
36, 5
36, 11
36, 1
37, 1
37, 16
37, 7
38, 2
38, 1
38, 12
39, 5
39, 1
39, 17
40, 3
40, 4
40, 1
41, 1
42, 2
42, 16
42, 12
43, 3
43, 2
43, 1
44, 13
44, 4
44, 1
45, 3
45, 7
46, 1
46, 8
47, 13
47, 1
47, 15
48, 4
48, 11
48, 7
49, 9
50, 18
50, 16
50, 12
51, 1
51, 8
51, 15
52, 11
52, 1
52, 14
53, 11
53, 1
53, 8
54, 1
55, 5
55, 1
55, 6
56, 3
56, 2
56, 1
57, 13
57, 1
57, 10
58, 3
58, 5
58, 1
59, 13
59, 3
59, 4
60, 3
60, 4
60, 1
61, 3
61, 4
61, 7
62, 13
62, 4
62, 14
63, 1
63, 9
64, 3
64, 4
65, 11
65, 1
66, 1
66, 14
67, 13
67, 4
67, 14
68, 1
68, 16
68, 12
69, 3
69, 1
69, 16
70, 16
70, 12
71, 13
71, 3
71, 4
72, 2
72, 1
73, 3
73, 4
74, 1
74, 18
75, 1
75, 16
75, 15
76, 18
76, 7
77, 1
77, 19
78, 2
78, 1
78, 16
79, 11
80, 2
80, 1
80, 16
81, 1
81, 15
82, 16
82, 12
83, 1
83, 20
84, 11
84, 1
84, 15
85, 1
85, 12
85, 15
86, 1
86, 10
86, 18
87, 2
87, 1
87, 17
88, 2
88, 1
88, 12
89, 1
90, 1
91, 1
91, 16
91, 15
92, 1
93, 1
93, 14
94, 4
94, 1
94, 15
95, 1
95, 8
95, 7
96, 11
96, 8
97, 11
97, 2
98, 1
99, 1
100, 1
100, 8
101, 1
101, 14
101, 21
102, 13
102, 4
102, 11
103, 5
103, 1
103, 6
104, 2
104, 1
104, 12
105, 1
105, 15
106, 1
106, 12
106, 15
107, 3
107, 4
107, 7
108, 5
108, 1
108, 6
109, 2
109, 1
110, 3
110, 4
110, 10
111, 4
111, 1
111, 12
112, 2
112, 1
113, 11
113, 2
113, 1
114, 2
114, 1
114, 7
115, 4
115, 7
116, 9
117, 4
117, 5
117, 1
118, 11
118, 1
118, 8
119, 4
119, 16
119, 12
120, 16
120, 8
120, 12
121, 11
121, 19
121, 8
122, 1
123, 1
124, 2
124, 1
124, 20
125, 1
125, 16
126, 2
126, 16
126, 12
127, 1
127, 7
128, 11
128, 1
129, 3
129, 1
129, 15
130, 3
130, 1
131, 5
131, 11
131, 1
132, 11
132, 2
132, 1
133, 2
133, 1
133, 16
134, 3
134, 1
135, 13
135, 4
135, 11
136, 2
136, 1
136, 16
137, 4
137, 11
137, 1
138, 1
138, 15
139, 5
139, 1
139, 21
140, 3
140, 11
140, 2
141, 1
142, 3
142, 5
142, 2
143, 1
143, 16
143, 8
144, 3
144, 1
144, 21
145, 16
145, 12
146, 13
146, 4
146, 11
147, 5
147, 2
147, 1
148, 1
148, 14
148, 21
149, 1
150, 1
150, 10
150, 15
151, 13
151, 4
151, 11
152, 3
152, 1
152, 7
153, 11
153, 2
153, 1
154, 1
155, 3
155, 4
156, 1
157, 5
157, 1
157, 6
158, 13
158, 4
158, 14
159, 5
159, 1
160, 3
160, 11
160, 2
161, 3
161, 11
161, 2
162, 2
162, 1
162, 16
163, 2
163, 1
163, 12
164, 2
164, 1
164, 12
165, 2
165, 1
166, 3
166, 11
166, 8
167, 1
167, 9
168, 3
168, 4
169, 11
169, 2
169, 1
170, 13
170, 14
170, 10
171, 3
171, 12
172, 3
172, 1
172, 15
173, 5
173, 1
173, 21
174, 1
174, 7
175, 1
175, 17
176, 5
176, 1
176, 6
177, 3
177, 4
177, 11
178, 4
178, 11
178, 10
179, 4
179, 1
179, 6
180, 2
180, 1
